From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q8ZMZ1	Q8ZMZ1	unreviewed	Q8ZMZ1_SALTY	Gifsy-1 prophage protein	STM2610	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	133
Q4QEN5	Q4QEN5	unreviewed	Q4QEN5_LEIMA	Cytochrome c (Putative cytochrome c)	LMJF_16_1310 LMJF_16_1320	Leishmania major	113
Q9AZ01	Q9AZ01	unreviewed	Q9AZ01_BPHK6	Terminase small subunit	3	Enterobacteria phage HK620 (Bacteriophage HK620)	140
B1P3E1	B1P3E1	unreviewed	B1P3E1_ACIBI	Diketoreductase	dkr	Acinetobacter baylyi	283
I6LNY0	I6LNY0	reviewed	BSR_PSEPU	Broad specificity amino-acid racemase, EC 5.1.1.10	bar alr	Pseudomonas putida (Arthrobacter siderocapsulatus)	409
Q9HZ64	Q9HZ64	unreviewed	Q9HZ64_PSEAE	Amidohydro-rel domain-containing protein	PA3170	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	444
Q9ULA0	Q9ULA0	reviewed	DNPEP_HUMAN	Aspartyl aminopeptidase, EC 3.4.11.21	DNPEP ASPEP DAP	Homo sapiens (Human)	485
G8XKZ6	G8XKZ6	unreviewed	G8XKZ6_9INFA	Nucleoprotein (Nucleocapsid protein, Protein N)	NP	Influenza A virus (A/England/256/2009(H1N1))	498
Q7CJ65	Q7CJ65	reviewed	DPS_YERPE	DNA protection during starvation protein, EC 1.16.-.-	dps YPO2510 y1677 YP_2325	Yersinia pestis	167
A7IGZ0	A7IGZ0	unreviewed	A7IGZ0_XANP2	Short-chain dehydrogenase/reductase SDR	Xaut_2039	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2)	250
Q3JWU2	Q3JWU2	unreviewed	Q3JWU2_BURP1	MutT/NUDIX family protein	BURPS1710b_0547	Burkholderia pseudomallei (strain 1710b)	136
Q2T3W4	Q2T3W4	unreviewed	Q2T3W4_BURTA	Agmatinase, putative, EC 3.5.3.11	BTH_II1941	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264)	320
M4GGR9	M4GGR9	reviewed	LYR_PROMI	Lysine racemase, EC 5.1.1.5	lyr	Proteus mirabilis	407
Q46897	Q46897	reviewed	CAS6_ECOLI	CRISPR system Cascade subunit CasE, EC 3.1.-.- (CasE endoRNase) (crRNA endonuclease)	casE cas6e ygcH b2756 JW2726	Escherichia coli (strain K12)	199
A0KEJ7	A0KEJ7	unreviewed	A0KEJ7_AERHH	Uncharacterized protein	AHA_0125	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	134
Q8P8H1	Q8P8H1	unreviewed	Q8P8H1_XANCP	Amidohydro-rel domain-containing protein	XCC2270	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	449
C8WUG7	C8WUG7	unreviewed	C8WUG7_ALIAD	Release factor glutamine methyltransferase, RF MTase, EC 2.1.1.297 (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC Aaci_2779	Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / BCRC 14685 / JCM 5260 / KCTC 1825 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-IA) (Bacillus acidocaldarius)	313
P08594	P08594	reviewed	AQL1_THEAQ	Aqualysin-1, EC 3.4.21.111 (Aqualysin-I)	pstI	Thermus aquaticus	513
B0ZE06	B0ZE06	unreviewed	B0ZE06_ECOLX	AAA family ATPase (Chromosome partitioning protein ParA) (ParA family protein) (Plasmid partitioning protein ParF) (Resolvase)	parF C5Y87_24095 CG831_004316 DNQ45_07005 EIZ93_19540 ELX87_21200 GTP88_25305 pOLA52_52	Escherichia coli	206
Q6N5G3	Q6N5G3	unreviewed	Q6N5G3_RHOPA	Histidine kinase, EC 2.7.13.3	phyB1 RPA3015	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	758
Q9NJS1	Q9NJS1	unreviewed	Q9NJS1_ANOAL	Salivary anti-thrombin peptide anophelin	AT	Anopheles albimanus (New world malaria mosquito)	83
Q9VA37	Q9VA37	reviewed	DJ1B_DROME	Protein dj-1beta	dj-1beta dj-1-beta CG1349	Drosophila melanogaster (Fruit fly)	187
Q9KD11	Q9KD11	unreviewed	Q9KD11_ALKHC	BH1408 protein	BH1408	Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	156
Q8DEC2	Q8DEC2	reviewed	MDH_VIBVU	Malate dehydrogenase, EC 1.1.1.37	mdh VV1_0673	Vibrio vulnificus (strain CMCP6)	310
Q8A074	Q8A074	unreviewed	Q8A074_BACTN	Uncharacterized protein	BT_4147	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	196
Q9VCY3	Q9VCY3	reviewed	CSN6_DROME	COP9 signalosome complex subunit 6, Dch6, Signalosome subunit 6	CSN6 CG6932	Drosophila melanogaster (Fruit fly)	341
O46790	O46790	unreviewed	O46790_CHICK	MHC class I alpha chain 2 (MHC class I glycoprotein) (MHC class I molecule)	B-FIV BF2	Gallus gallus (Chicken)	355
Q6J4Y8	Q6J4Y8	unreviewed	Q6J4Y8_CHICK	FUS/TLS		Gallus gallus (Chicken)	504
D1D8L6	D1D8L6	unreviewed	D1D8L6_ASPFM	Cyclic dipeptide N-prenyltransferase	cdpNPT	Neosartorya fumigata (Aspergillus fumigatus)	440
Q6TGQ9	Q6TGQ9	reviewed	OXLA1_BOTJR	L-amino-acid oxidase BjussuLAAO-I, BjsuLAAO, LAO, EC 1.4.3.2		Bothrops jararacussu (Jararacussu)	497
Q9VMC9	Q9VMC9	reviewed	KFA_DROME	Kynurenine formamidase, KFA, KFase, EC 3.5.1.9 (Arylformamidase) (N-formylkynurenine formamidase, FKF)	KFase CG9542	Drosophila melanogaster (Fruit fly)	300
Q180S3	Q180S3	unreviewed	Q180S3_CLOD6	Cobalt-precorrin-4 C(11)-methyltransferase (Cobalt-precorrin-3 methylase), EC 2.1.1.-	cbiF CD630_34260	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	250
Q9HSF6	Q9HSF6	reviewed	RNH_HALSA	Ribonuclease HI, Halo-RNase HI, RNase HI, EC 3.1.26.4	rnhA VNG_0255C	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	199
O86033	O86033	reviewed	GLPK_RHIME	Glycerol kinase, EC 2.7.1.30 (ATP:glycerol 3-phosphotransferase) (Glycerokinase, GK)	glpK RB1135 SMb21009	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	497
Q183B0	Q183B0	unreviewed	Q183B0_CLOD6	Acetoacetyl-CoA thiolase 2, EC 2.3.1.9	thlA2 CD630_26760	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	392
P19113	P19113	reviewed	DCHS_HUMAN	Histidine decarboxylase, HDC, EC 4.1.1.22	HDC	Homo sapiens (Human)	662
Q93W25	Q93W25	unreviewed	Q93W25_WHEAT	Peptidyl-prolyl cis-trans isomerase, PPIase, EC 5.2.1.8	CyP3 CyP1 TaBWCyp A-1	Triticum aestivum (Wheat)	171
Q9R117	Q9R117	reviewed	TYK2_MOUSE	Non-receptor tyrosine-protein kinase TYK2, EC 2.7.10.2	Tyk2	Mus musculus (Mouse)	1184
Q39SD5	Q39SD5	unreviewed	Q39SD5_GEOMG	6-phosphogluconate dehydrogenase, decarboxylating	gnd Gmet_2620	Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)	336
B1JRD8	B1JRD8	reviewed	KCY_YERPY	Cytidylate kinase, CK, EC 2.7.4.25 (Cytidine monophosphate kinase, CMP kinase)	cmk YPK_2669	Yersinia pseudotuberculosis serotype O:3 (strain YPIII)	230
P37792	P37792	reviewed	WZZB_SHIFL	Chain length determinant protein (Polysaccharide antigen chain regulator)	wzzB cld rol SF2089 S2210	Shigella flexneri	325
Q8DT67	Q8DT67	unreviewed	Q8DT67_STRMU	Putative acetyltransferase	SMU_1511c	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	173
Q2TJB8	Q2TJB8	unreviewed	Q2TJB8_TRYCR	Dehydrogenase		Trypanosoma cruzi	379
D1C798	D1C798	unreviewed	D1C798_SPHTD	Cupin 2 conserved barrel domain protein	Sthe_2323	Sphaerobacter thermophilus (strain DSM 20745 / S 6022)	123
O05338	O05338	reviewed	DNAG_STAAU	DNA primase, EC 2.7.7.101	dnaG	Staphylococcus aureus	605
G8N704	G8N704	unreviewed	G8N704_GEOTH	Alpha-amylase	GTCCBUS3UF5_7870	Geobacillus thermoleovorans CCB_US3_UF5	511
D9WMQ6	D9WMQ6	unreviewed	D9WMQ6_9ACTN	Cytochrome P450 107B1 (P450CVIIB1) (p450-like enzyme)	hmtN SSOG_07636	Streptomyces himastatinicus ATCC 53653	399
Q8GXV5	Q8GXV5	reviewed	UGHY_ARATH	(S)-ureidoglycine aminohydrolase, AtUGLYAH, EC 3.5.3.26	UGLYAH UGHY YlbA At4g17050 dl4555w FCAALL.343	Arabidopsis thaliana (Mouse-ear cress)	298
O52762	O52762	reviewed	CATA_PSEAE	Catalase, EC 1.11.1.6	katA PA4236	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	482
A5KUH7	A5KUH7	unreviewed	A5KUH7_VIBBS	2-dehydro-3-deoxy-phosphogluconate aldolase, EC 4.1.2.14	VSWAT3_13722	Vibrionales bacterium (strain SWAT-3)	209
Q2KDX6	Q2KDX6	unreviewed	Q2KDX6_RHIEC	Probable sugar kinase protein	RHE_CH00135	Rhizobium etli (strain CFN 42 / ATCC 51251)	330
A9WC34	A9WC34	reviewed	MCH_CHLAA	Beta-methylmalyl-CoA dehydratase, EC 4.2.1.148 (2-methylfumaryl-CoA hydratase) (Mesaconyl-CoA hydratase)	mch Caur_0173	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	352
Q2K3F6	Q2K3F6	unreviewed	Q2K3F6_RHIEC	Putative oxidoreductase protein	RHE_CH03884	Rhizobium etli (strain CFN 42 / ATCC 51251)	250
G0UVW6	G0UVW6	unreviewed	G0UVW6_TRYCI	Uncharacterized protein	TCIL3000_10_2930	Trypanosoma congolense (strain IL3000)	387
O08712	O08712	reviewed	TR11B_MOUSE	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	Tnfrsf11b Ocif Opg	Mus musculus (Mouse)	401
C6D9S0	C6D9S0	reviewed	MAND_PECCP	D-galactonate dehydratase family member PC1_0802, EC 4.2.1.- (D-mannonate dehydratase, EC 4.2.1.8)	PC1_0802	Pectobacterium carotovorum subsp. carotovorum (strain PC1)	404
Q92RW4	Q92RW4	unreviewed	Q92RW4_RHIME	Methylmalonate-semialdehyde dehydrogenase, EC 1.2.1.27	mmsA SMc00781	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	498
Q8EVF6	Q8EVF6	unreviewed	Q8EVF6_MYCPE	Arginine deiminase	MYPE6080	Mycoplasma penetrans (strain HF-2)	452
Q6GJ80	Q6GJ80	reviewed	PTAS_STAAR	Phosphate acetyltransferase, EC 2.3.1.8 (Phosphotransacetylase)	pta SAR0594	Staphylococcus aureus (strain MRSA252)	328
B1YVV9	B1YVV9	unreviewed	B1YVV9_BURA4	N5-carboxyaminoimidazole ribonucleotide synthase, N5-CAIR synthase, EC 6.3.4.18 (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK BamMC406_2543	Burkholderia ambifaria (strain MC40-6)	398
P38920	P38920	reviewed	MLH1_YEAST	DNA mismatch repair protein MLH1 (MutL protein homolog 1) (Post meiotic segregation protein 2)	MLH1 PMS2 YMR167W YM8520.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	769
Q5NG43	Q5NG43	unreviewed	Q5NG43_FRATT	Short chain dehydrogenase family protein, EC 1.-.-.-	FTT_1014c	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	241
P60761	P60761	reviewed	NEUG_MOUSE	Neurogranin, Ng (RC3) [Cleaved into: NEUG(55-78) ]	Nrgn	Mus musculus (Mouse)	78
Q2SWE3	Q2SWE3	reviewed	SYH_BURTA	Histidine--tRNA ligase, EC 6.1.1.21 (Histidyl-tRNA synthetase, HisRS)	hisS BTH_I2235	Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264)	446
P06837	P06837	reviewed	NEUM_MOUSE	Neuromodulin (Axonal membrane protein GAP-43) (Calmodulin-binding protein P-57) (Growth-associated protein 43)	Gap43 Basp2	Mus musculus (Mouse)	227
Q5EP34	Q5EP34	unreviewed	Q5EP34_9INFA	Polymerase acidic protein, EC 3.1.-.- (RNA-directed RNA polymerase subunit P2)	PA	Influenza A virus (A/Viet Nam/1203/2004(H5N1))	716
O69054	O69054	reviewed	PTXD_PSEST	Phosphonate dehydrogenase, EC 1.20.1.1 (NAD-dependent phosphite dehydrogenase)	ptxD	Pseudomonas stutzeri (Pseudomonas perfectomarina)	336
Q6IRB5	Q6IRB5	unreviewed	Q6IRB5_XENLA	MGC78846 protein (uncharacterized protein LOC432110) (uncharacterized protein LOC432110 isoform X1)	dgcr8.L dgcr8 MGC78846	Xenopus laevis (African clawed frog)	772
A0A1Q4LWC0	A0A6L8PVW7	unreviewed	A0A6L8PVW7_BACAN	Uncharacterized protein	GBAA_5613	Bacillus anthracis	328
A7AG74	A7AG74	unreviewed	A7AG74_9BACT	ThuA domain-containing protein	PARMER_02418	Parabacteroides merdae ATCC 43184	304
P0C213	P0C213	reviewed	TAX_HTL1F	Protein Tax-1 (Protein X-LOR) (Trans-activating transcriptional regulatory protein of HTLV-1)	tax	Human T-cell leukemia virus 1 (isolate Zaire EL subtype B) (HTLV-1)	353
P68979	P68979	reviewed	E3GL_ADE06	Early E3 18.5 kDa glycoprotein (E3-19K) (E3gp 19 kDa, E19) (GP19K)		Human adenovirus C serotype 6 (HAdV-6) (Human adenovirus 6)	159
Q2CIP5	Q2CIP5	unreviewed	Q2CIP5_OCEGH	2-dehydro-3-deoxygluconokinase	OG2516_05533	Oceanicola granulosus (strain ATCC BAA-861 / DSM 15982 / KCTC 12143 / HTCC2516)	305
Q47QW6	Q47QW6	unreviewed	Q47QW6_THEFY	Cell division protein FtsZ	ftsZ Tfu_1113	Thermobifida fusca (strain YX)	469
A7M2I6	A7M2I6	unreviewed	A7M2I6_BACO1	DUF4468 domain-containing protein	BACOVA_04320	Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153)	384
Q6CII8	Q6CII8	reviewed	RNA14_KLULA	mRNA 3'-end-processing protein RNA14	RNA14 KLLA0F26290g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	661
Q9HY80	Q9HY80	unreviewed	Q9HY80_PSEAE	Fer2_BFD domain-containing protein	PA3530	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	73
Q92N06	Q92N06	unreviewed	Q92N06_RHIME	Probable sorbitol dehydrogenase (L-iditol 2-dehydrogenase), EC 1.1.1.14	smoS SMc01500	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	257
Q3URR7	Q3URR7	reviewed	ZSC10_MOUSE	Zinc finger and SCAN domain-containing protein 10 (Zinc finger protein 206)	Zscan10 Zfp206	Mus musculus (Mouse)	782
A0A0H2V8D3	A0A0H2V8D3	unreviewed	A0A0H2V8D3_ECOL6	Beta-lactamase, EC 3.5.2.6	c2452	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	504
A0A3Q0L1H4	A0A3Q0L1H4	unreviewed	A0A3Q0L1H4_VIBVU	Citrate synthase	gltA VV1_0162	Vibrio vulnificus (strain CMCP6)	429
Q8I3H4	Q8I3H4	unreviewed	Q8I3H4_PLAF7	Apicoplast TIC22 protein	PF3D7_0529300	Plasmodium falciparum (isolate 3D7)	279
A6XNE6	A6XNE6	unreviewed	A6XNE6_9ROSI	Coniferyl alcohol 9-O-methyltransferase (S-adenosyl-L-methionine-dependent coniferyl alcohol 9-O-methyltransferase)	CA9OMT	Linum nodiflorum	368
O15031	O15031	reviewed	PLXB2_HUMAN	Plexin-B2 (MM1)	PLXNB2 KIAA0315	Homo sapiens (Human)	1838
Q9HUJ3	Q9HUJ3	unreviewed	Q9HUJ3_PSEAE	Uncharacterized protein	PA4972	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	248
Q9HCM2	Q9HCM2	reviewed	PLXA4_HUMAN	Plexin-A4	PLXNA4 KIAA1550 PLXNA4A PLXNA4B UNQ2820/PRO34003	Homo sapiens (Human)	1894
B0VMV2	B0VMV2	reviewed	LPXD_ACIBS	UDP-3-O-acylglucosamine N-acyltransferase, EC 2.3.1.191	lpxD ABSDF1688	Acinetobacter baumannii (strain SDF)	356
Q8ZBL9	Q8ZBL9	reviewed	GSA_YERPE	Glutamate-1-semialdehyde 2,1-aminomutase, GSA, EC 5.4.3.8 (Glutamate-1-semialdehyde aminotransferase, GSA-AT)	hemL YPO3389 y0799 YP_0296	Yersinia pestis	426
Q8DNC2	Q8DNC2	unreviewed	Q8DNC2_STRR6	Response regulator	rr11 spr1814	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	199
F1RQI7	F1RQI7	unreviewed	F1RQI7_PIG	Unconventional myosin-VI (Unconventional myosin-6)	MYO6	Sus scrofa (Pig)	1266
O13833	O13833	reviewed	CID1_SCHPO	Terminal uridylyltransferase cid1, TUTase cid1, EC 2.7.7.19, EC 2.7.7.52 (Caffeine-induced death protein 1) (Poly(A) polymerase cid1, PAP) (Poly(U) polymerase cid1, PUP)	cid1 SPAC19D5.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	405
Q06602	Q06602	reviewed	APD73_APIME	Apidaecins type 73 [Cleaved into: Apidaecin; Apidaecin-1B (Apidaecin IB); Apidaecin-1A (Apidaecin IA) ]	APID73	Apis mellifera (Honeybee)	283
B4EB35	B4EB35	unreviewed	B4EB35_BURCJ	D-beta-D-heptose 7-phosphate kinase	hldA BCAL2945	Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315))	316
P0AGL7	P0AGL7	reviewed	RSME_ECOLI	Ribosomal RNA small subunit methyltransferase E, EC 2.1.1.193 (16S rRNA m3U1498 methyltransferase)	rsmE yggJ b2946 JW2913	Escherichia coli (strain K12)	243
A0A0H2UN19	A0A0H2UN19	unreviewed	A0A0H2UN19_STRPN	Glycosyl hydrolase, family 35	SP_0060	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	595
O61996	O61996	unreviewed	O61996_BOMMO	Glutathione S-transferase	692678	Bombyx mori (Silk moth)	218
A1B198	A1B198	reviewed	HPBD_PARDP	4-hydroxyproline betaine 2-epimerase, Hyp-B 2-epimerase, EC 5.1.1.22 ((4R)-4-hydroxyproline betaine 2-epimerase)	hpbD Pden_1187	Paracoccus denitrificans (strain Pd 1222)	369
Q43899	Q43899	reviewed	AAC6_ACIBA	Aminoglycoside N(6')-acetyltransferase type 1, EC 2.3.1.82 (AAC(6')-Ih) (Aminoglycoside resistance protein)		Acinetobacter baumannii	146
Q8VZ79	Q8VZ79	reviewed	IDN2_ARATH	Protein INVOLVED IN DE NOVO 2 (Protein RNA-DIRECTED DNA METHYLATION 12)	IDN2 RDM12 At3g48670 T8P19.180	Arabidopsis thaliana (Mouse-ear cress)	647
A0A0H2UN46	A0A0H2UN46	unreviewed	A0A0H2UN46_STRPN	MccC family protein	SP_0182	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	343
Q5CX58	Q5CX58	reviewed	CUTA_CRYPI	Divalent-cation tolerance protein cutA homolog	cgd6_2410	Cryptosporidium parvum (strain Iowa II)	117
P35818	P35818	reviewed	GSPD_PSEAE	Secretin XcpQ (General secretion pathway protein D) (Type II secretion system protein D, T2SS protein D)	xcpQ PA3105	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	658
A7M287	A7M287	unreviewed	A7M287_BACO1	Uncharacterized protein	BACOVA_04221	Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153)	261
A0A0H2YWG9	A0A0H2YWG9	unreviewed	A0A0H2YWG9_ECOK1	Attaching and effacing protein, pathogenesis factor EaeH	eaeH APECO1_1694	Escherichia coli O1:K1 / APEC	1416
Q1M1K6	Q1M1K6	unreviewed	Q1M1K6_9POXV	Cell surface-binding protein (Carbonic anhydrase homolog)	VACV_VK08_RKI-133 VACV_VK01_RKI-140 VACV_VK02_RKI-117 VACV_VK12_RKI-146 synVACV_124 VAC_DPP17_124 VACAC2_124 VACCL3_124 VACli_124	Vaccinia virus	304
P41146	P41146	reviewed	OPRX_HUMAN	Nociceptin receptor (Kappa-type 3 opioid receptor, KOR-3) (Orphanin FQ receptor)	OPRL1 OOR ORL1	Homo sapiens (Human)	370
O85353	O85353	unreviewed	O85353_CAUVI	Putative acetyltransferase	wbqR	Caulobacter vibrioides (Caulobacter crescentus)	215
P24215	P24215	reviewed	UXUA_ECOLI	Mannonate dehydratase, EC 4.2.1.8 (D-mannonate hydro-lyase)	uxuA b4322 JW4285	Escherichia coli (strain K12)	394
Q8Y850	Q8Y850	unreviewed	Q8Y850_LISMO	Lmo1068 protein	lmo1068	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	286
O18645	O18645	unreviewed	O18645_DROME	AMP-activated protein kinase alpha subunit, isoform A, EC 2.7.11.-, EC 2.7.11.16 (AMP-activated protein kinase alpha subunit, isoform B) (AMP-activated protein kinase alpha subunit, isoform C) (EG:132E8.2 protein) (FI03728p) (SNF1A/AMP-activated protein kinase)	AMPKalpha AK AMPK ampk AMPK alpha AMPK-alpha AmpKalpha ampkalpha dAMPK dAMPKa dAMPKalpha DmAMPK alpha Dmel\CG3051 EG:132E8.2 FBgn0023169 Gprk-4 Gprk4 SNF1A snf1A snf1a SNF1A-RA SNF4A-a CG3051 Dmel_CG3051	Drosophila melanogaster (Fruit fly)	582
Q6ZPF4	Q6ZPF4	reviewed	FMNL3_MOUSE	Formin-like protein 3	Fmnl3 Frl2 Kiaa2014	Mus musculus (Mouse)	1028
Q93TK0	Q93TK0	unreviewed	Q93TK0_RHOPL	Benzoate-coenzyme A ligase	badA	Rhodopseudomonas palustris	523
G9BY57	G9BY57	reviewed	PETH_UNKP	Leaf-branch compost cutinase, LC-cutinase, LCC, EC 3.1.1.74 (PET-digesting enzyme) (Poly(ethylene terephthalate) hydrolase, PET hydrolase, PETase, EC 3.1.1.101)		Unknown prokaryotic organism	293
O29689	O29689	reviewed	ISCS2_ARCFU	Cysteine desulfurase IscS 2, EC 2.8.1.7	iscS2 AF_0564	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	382
P0DMG2	P0DMG2	reviewed	ISCU2_ARCFU	Iron-sulfur cluster assembly scaffold protein IscU 2 (Sulfur acceptor protein IscU 2)	iscU2 AF_0565	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	153
Q6CKN2	Q6CKN2	unreviewed	Q6CKN2_KLULA	KLLA0F09383p	KLLA0_F09383g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	258
A0A0H3JX79	A0A0H3JX79	unreviewed	A0A0H3JX79_STAAM	DUF4467 domain-containing protein	SAV0303	Staphylococcus aureus (strain Mu50 / ATCC 700699)	124
D0E7M2	D0E7M2	unreviewed	D0E7M2_PSEAI	Aminoglycoside nucleotidyltransferase	ant(4')-IIb	Pseudomonas aeruginosa	251
Q07879	Q07879	reviewed	ATG10_YEAST	Ubiquitin-like-conjugating enzyme ATG10, EC 2.3.2.- (Autophagy-related protein 10)	ATG10 APG10 YLL042C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	167
A8R7E6	A8R7E6	reviewed	CERK1_ARATH	Chitin elicitor receptor kinase 1, AtCERK1, EC 2.7.11.1 (LysM domain receptor-like kinase 1, LysM RLK1, LysM-containing receptor-like kinase 1)	CERK1 LYK1 RLK1 At3g21630 MIL23.20	Arabidopsis thaliana (Mouse-ear cress)	617
Q8L1C7	Q8L1C7	unreviewed	Q8L1C7_ENTFL	Uncharacterized protein		Enterococcus faecalis (Streptococcus faecalis)	322
P61898	P61898	reviewed	NGFV_NAJAT	Venom nerve growth factor, v-NGF, vNGF (Cobra nerve growth factor, cNGF)		Naja atra (Chinese cobra)	116
B7GS97	B7GS97	reviewed	AROC_BIFLS	Chorismate synthase, CS, EC 4.2.3.5 (5-enolpyruvylshikimate-3-phosphate phospholyase)	aroC Blon_1598 BLIJ_1653	Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12)	395
Q03SP4	Q03SP4	unreviewed	Q03SP4_LEVBA	Phosphate-binding protein	LVIS_0633	Levilactobacillus brevis (strain ATCC 367 / BCRC 12310 / CIP 105137 / JCM 1170 / LMG 11437 / NCIMB 947 / NCTC 947) (Lactobacillus brevis)	293
A6LF58	A6LF58	unreviewed	A6LF58_PARD8	Putative iron-regulated protein A	BDI_2603	Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152)	403
A0A0H2Z874	A0A0H2Z874	unreviewed	A0A0H2Z874_PSEAB	Putative glutathione S-transferase	PA14_43530	Pseudomonas aeruginosa (strain UCBPP-PA14)	220
Q07422	Q07422	reviewed	DRTS_TOXGO	Bifunctional dihydrofolate reductase-thymidylate synthase, DHFR-TS [Includes: Dihydrofolate reductase, EC 1.5.1.3; Thymidylate synthase, EC 2.1.1.45 ]		Toxoplasma gondii	610
Q6WRY3	Q6WRY3	unreviewed	Q6WRY3_ENTFL	Alanine racemase, EC 5.1.1.1	vanTG	Enterococcus faecalis (Streptococcus faecalis)	712
Q8ABA0	Q8ABA0	unreviewed	Q8ABA0_BACTN	Leucine-rich repeat protein	BT_0210	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	904
O69540	O69540	reviewed	IPYR_MYCLE	Inorganic pyrophosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase, PPase)	ppa ML0210 MLCB2548.21	Mycobacterium leprae (strain TN)	162
A0A0H3G7M3	A0A0H3G7M3	unreviewed	A0A0H3G7M3_BRUSU	CAIB/BAIF family protein	BS1330_I1080	Brucella suis biovar 1 (strain 1330)	381
